Drug,Adverse Event,a,b,c,d,PRR,Signal Status,Notes,ROR,Chi-square,Chi-square p (approx),Method Agreement,ML Anomaly,IsolationForest score,Reviewer Priority Score,Cases with severity keywords,hospitalized_mentions,fatal_mentions
HeptraClear,Liver Injury,14,6,5,63,11.76,Potential Safety Signal,PRR = 11.760 is at or above the screening threshold (2.0) with a = 14.,24.696,42.8012,0.0,PRR and ROR both high,Anomalous pair,-0.2341,100.0,12,10,1
Amplitide,Anaphylaxis,4,11,3,70,8.485,Potential Safety Signal,PRR = 8.485 is at or above the screening threshold (2.0) with a = 4.,8.485,16.5231,0.0,PRR and ROR both high,Anomalous pair,-0.1872,95.3,4,4,0
Cardionil,QT Prolongation,6,12,1,69,10.35,Potential Safety Signal,PRR = 10.350 is at or above the screening threshold (2.0) with a = 6.,34.5,30.1145,0.0,PRR and ROR both high,Anomalous pair,-0.1654,97.8,6,5,0
Neuravex,Headache,10,8,8,62,9.688,Potential Safety Signal,PRR = 9.688 is at or above the screening threshold (2.0) with a = 10.,9.625,32.4521,0.0,PRR and ROR both high,Anomalous pair,-0.1543,93.1,0,0,0
Amplitide,Rash,6,9,7,66,7.857,Potential Safety Signal,PRR = 7.857 is at or above the screening threshold (2.0) with a = 6.,7.048,20.3317,0.0,PRR and ROR both high,Anomalous pair,-0.1421,88.6,0,0,0
HeptraClear,Nausea,3,17,8,60,6.618,Potential Safety Signal,PRR = 6.618 is at or above the screening threshold (2.0) with a = 3.,1.324,4.2215,0.0399,Only PRR high,Typical pair,0.0521,62.4,0,0,0
Cardionil,Dizziness,7,11,10,60,7.636,Potential Safety Signal,PRR = 7.636 is at or above the screening threshold (2.0) with a = 7.,3.818,18.1234,0.0,PRR and ROR both high,Typical pair,0.0314,75.2,2,2,0
Neuravex,Liver Injury,1,17,13,57,2.462,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1823,6.8,0,0,0
Neuravex,Anaphylaxis,1,17,3,67,12.407,Undefined,Undefined PRR: the event was not reported for other drugs (c = 0) — insufficient crossover.,,,,,Typical pair,0.1934,15.4,1,1,0
Placebol,Headache,5,13,7,63,5.495,Potential Safety Signal,PRR = 5.495 is at or above the screening threshold (2.0) with a = 5.,3.462,10.2341,0.0014,PRR and ROR both high,Typical pair,0.0623,55.7,0,0,0
Placebol,Nausea,4,14,7,63,4.286,Potential Safety Signal,PRR = 4.286 is at or above the screening threshold (2.0) with a = 4.,2.25,7.1234,0.0076,PRR and ROR both high,Typical pair,0.0734,48.3,0,0,0
Placebol,Dizziness,2,16,10,60,3.0,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1834,13.6,0,0,0
Placebol,Rash,2,16,12,58,2.875,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.1923,11.4,0,0,0
Placebol,Liver Injury,2,16,13,57,2.769,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 2, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.2012,10.2,0,0,0
Placebol,QT Prolongation,1,17,6,64,3.765,Insufficient data,Insufficient data to calculate PRR as a screening flag: a = 1, which is below the configured minimum of 3.,,,,Neither high,Typical pair,0.2134,9.8,0,0,0
HeptraClear,Dizziness,1,19,10,58,1.742,Below threshold,PRR = 1.742 is below the screening threshold (2.0).,0.305,0.6523,0.4193,Neither high,Typical pair,0.2341,5.2,0,0,0
HeptraClear,Rash,1,19,12,56,1.456,Below threshold,PRR = 1.456 is below the screening threshold (2.0).,0.245,0.3812,0.5372,Neither high,Typical pair,0.2456,4.1,0,0,0
